region,comuna,titulo,fecha,bajada,link,medio
Arica y Parinacota,Arica,INDH abordó los conflictos medioambientales que enfrentan las mujeres indígenas del norte,3 months ago,"Es la primera vez que el INDH organiza un encuentro de este tipo, lo que hizo posible que mujeres de Arica y Parinacota, Tarapacá,",https://www.indh.cl/indh-abordo-los-conflictos-medioambientales-que-enfrentan-las-mujeres-indigenas-del-norte/,Instituto Nacional de Derechos Humanos
Arica y Parinacota,Arica,"«En Arica, se contamina con arsénico y quieren contaminar también con residuos de desalinización» por Miguel Silva",5 months ago,"Los dos valles en Arica están contaminados con materiales pesados como arsénico, y como tal, han aparecido enfermedades raras…5 months ago",https://www.revistadefrente.cl/en-arica-se-contamina-con-arsenico-y-quieren-contaminar-tambien-con-residuos-de-desalinizacion-por-miguel-silva/,Revista De Frente
Arica y Parinacota,Arica,La fórmula de minera Quiborax para saltarse las reglas en el Salar de Surire,9 months ago,"La Superintendencia de Medio Ambiente investiga a la empresa minera Quiborax, luego de que la Corporación Nacional Forestal (Conaf) la",https://www.ciperchile.cl/2024/03/06/la-formula-de-minera-quiborax-para-saltarse-las-reglas-en-el-salar-de-surire/,- CIPER Chile
Arica y Parinacota,Arica,Quiborax: Empresa denunciada por daño ambiental a Salar de Surire busca obtener contrato para explotar litio,5 months ago,La minera Quiborax está demandada por el Consejo de Defensa del Estado debido a presuntamente haber generado daño ambiental irreparable,https://resumen.cl/articulos/quiborax-empresa-denunciada-por-dano-ambiental-a-salar-de-surire-busca-obtener-contrato-para-explotar-litio,Resumen.cl
Arica y Parinacota,Arica,Desafíos ambientales en Arica Parinacota,119 months ago,"El Profesor Cristián Estades, estuvo a cargo del equipo que recorrió la región para realizar el diagnóstico sobre fauna.119 months ago",https://forestal.uchile.cl/noticias/108552/desafios-ambientales-en-arica-parinacota,Forestal UChile
Arica y Parinacota,Arica,Nuevo traspié para Quiborax: CDE rechaza mediación por conflicto en Salar de Surire,3 months ago,Empresa espera que ahora Tribunal Ambiental lidere propuesta.3 months ago,https://www.soychile.cl/Arica/Sociedad/2024/09/10/876207/mediacion-quiborax-arica.html,SoyChile.cl
Arica y Parinacota,Arica,Superintendenta Plumer visita la Región de Arica y Parinacota para reunirse con autoridades locales,12 months ago,Se trata de la primera visita oficial de la jefa del Servicio a la región del norte extremo del país y tuvo como fin abordar distintas,https://portal.sma.gob.cl/index.php/superintendenta-plumer-visita-la-region-de-arica-y-parinacota-para-reunirse-con-autoridades-locales/,Superintendencia Del Medio Ambiente – Gobierno de Chile
Arica y Parinacota,Arica,"Contaminación del aire, basura y ruidos son los principales problemas ambientales del país - Arica y Parinacota",117 months ago,"Veinticinco años atrás el cuidado del medio ambiente era un tema aún más emergente, Tímidamente se comenzaba a hablar de reciclaje en los",https://explora.cl/aricayparinacota/contaminacion-del-aire-basura-y-ruidos-son-los-principales-problemas-ambientales-del-pais-1/,Explora.cl
Arica y Parinacota,Arica,"""Llevamos 36 años muriendo"": las dramáticas consecuencias de los residuos tóxicos abandonados por Suecia en Chile hace tres décadas",41 months ago,"María José Bejares llegó a vivir a la población Los Industriales, ubicada en Arica, en el norte de Chile, en 1991. Recuerda bien cómo ella,",https://www.bbc.com/mundo/noticias-america-latina-57474736,BBC
Arica y Parinacota,Arica,Investigación de Ciper revela la fórmula de minera Quiborax para saltarse las reglas en el Salar de Surire,9 months ago,"Una profunda investigación periodística expone el conflicto entre la empresa minera Quiborax y la Corporación Nacional Forestal (Conaf),",https://www.adnradio.cl/2024/03/06/investigacion-de-ciper-revela-la-formula-de-minera-quiborax-para-saltarse-las-reglas-en-el-salar-de-surire/,ADN Radio
Arica y Parinacota,Camarones,Derrumbe en mina Pampa Camarones deja a trabajador atrapado a 160 metros de profundidad,5 months ago,"Durante esta jornada, el seremi de Minería de Arica y Parinacota, Daniel Curiqueo, confirmó que se trabaja intensamente en el",https://www.biobiochile.cl/noticias/nacional/region-de-arica-y-parinacota/2024/07/09/derrumbe-en-mina-de-arica-deja-a-trabajador-atrapado-a-160-metros-de-profundidad-gope-intenta-rescate.shtml,BioBioChile
Arica y Parinacota,Camarones,"La estela del gobierno de Piñera, conflictos de interés y financiamiento al proyecto minero Pampa Camarones",25 months ago,"El miércoles 16 de noviembre, la revista CIPER publicó una investigación sobre la participación de la familia Piñera en el proyecto minero",https://www.laizquierdadiario.cl/La-estela-del-gobierno-de-Pinera-conflictos-de-interes-y-financiamiento-al-proyecto-minero-Pampa,La Izquierda Diario Chile
Arica y Parinacota,Camarones,SMA sanciona a minera Pampa Camarones por daño ambiental irreparable,118 months ago,"La Superintendencia del Medio Ambiente (SMA) aplicó una multa de 4.313,3 UTA en contra del proyecto minero ubicado en la Región de Arica y",https://portal.sma.gob.cl/index.php/sma-sanciona-a-minera-pampa-camarones-por-dano-ambiental-irreparable/,Superintendencia Del Medio Ambiente – Gobierno de Chile
Arica y Parinacota,Camarones,Minera de LarrainVial suma multas ambientales morosas por más de $2.500 millones,65 months ago,"El proyecto Pampa Camarones SpA, propiedad de Minería Activa -una empresa de LarrainVial- está a la cabeza del ránking de multas impagas en",https://interferencia.cl/articulos/minera-de-larrainvial-suma-multas-ambientales-morosas-por-mas-de-2500-millones,Interferencia |
Arica y Parinacota,Camarones,Pampa Camarones: el proyecto en que participa la familia de Piñera que obtuvo financiamiento público y se autorizó durante sus gobiernos,25 months ago,En mayo de 2018 Pampa Camarones obtuvo el permiso ambiental para explotar dos minas de cobre en la Región de Arica.25 months ago,https://www.ciperchile.cl/2022/11/16/pampa-camarones-el-proyecto-en-que-participa-la-familia-de-pinera-que-obtuvo-financiamiento-publico-y-se-autorizo-durante-sus-gobiernos/,- CIPER Chile
Arica y Parinacota,Camarones,#EnCorto: Comunidades aymaras de Chile frenan a la minería en el cerro Anocarire,22 months ago,"Desde 2017, una minera canadiense explora territorios cercanos a la Reserva Nacional Las Vicuñas, en donde se encuentran áreas sagradas para",https://es.mongabay.com/2023/02/en-corto-comunidades-aymaras-frenan-a-la-mineria-en-anocarire/,Mongabay
Arica y Parinacota,Camarones,Comunidad Aymara de Umirpa gana recurso de protección contra empresa canadiense Andex Minerals,40 months ago,"Se determinó que los trabajos realizados por Andex Minerals han dañado la flora como la Llareta y Queñua y fauna protegida del sector,",https://radio.uchile.cl/2021/09/02/comunidad-aymara-de-umirpa-gana-recurso-de-proteccion-contra-empresa-canadiense-andex-minerals/,Radio Universidad de Chile
Arica y Parinacota,Camarones,El pueblo que evolucionó para resistir el arsénico,93 months ago,"El río Camarones posee altas concentraciones de arsénico, lo que hizo que sus habitantes desarrollaran una sorprendente variante de una",https://www.latercera.com/noticia/pueblo-evoluciono-resistir-arsenico/,La Tercera
Arica y Parinacota,Camarones,Tribunal Ambiental condena a Pampa Camarones por daño ambiental irreparable,80 months ago,"El Tribunal Ambiental de Santiago, por la unanimidad de sus ministros, acogió la demanda de reparación por daño ambiental interpuesta por el",https://www.latercera.com/pulso/tribunal-ambiental-resuelve-pampa-camarones-causo-dano-ambiental-irreparable-le-ordena-repararlo/,La Tercera
Arica y Parinacota,General Lagos,Autoridades,68 months ago,"Ministra del Medio Ambiente. Doctora en Ciencias Atmosféricas de la Universidad de Oxford, Reino Unido. Se desempeñó como profesora asociada en el",https://mma.gob.cl/autoridades/,mma.gob.cl
Arica y Parinacota,General Lagos,#EnCorto: Comunidades aymaras de Chile frenan a la minería en el cerro Anocarire,22 months ago,"Desde 2017, una minera canadiense explora territorios cercanos a la Reserva Nacional Las Vicuñas, en donde se encuentran áreas sagradas para",https://es.mongabay.com/2023/02/en-corto-comunidades-aymaras-frenan-a-la-mineria-en-anocarire/,Mongabay
Arica y Parinacota,General Lagos,Pago del permiso de circulación en la municipalidad de General Lagos: Revisa el acceso directo para cancelarlo,1 month ago,El permiso de circulación en Chile es un trámite obligatorio para todos los vehículos que transitan por las calles del país.1 month ago,https://www.meganoticias.cl/nacional/467663-pago-del-permiso-de-circulacion-en-la-municipalidad-de-general-lagos-revisa-el-acceso-directo-para-cancelarlo.html,Meganoticias
Arica y Parinacota,General Lagos,Descubren población estable de rara especie de sapos en Parinacota,50 months ago,El conocido como sapo de cuatro ojos fue detectado en la comuna de General Lagos por un equipo de especialistas de Conaf.50 months ago,https://cooperativa.cl/noticias/pais/region-de-arica/descubren-poblacion-estable-de-rara-especie-de-sapos-en-parinacota/2020-11-01/104603.html,Cooperativa.cl
Arica y Parinacota,General Lagos,Profesional de la UACh realiza importante hallazgo de sapito de cuatro ojos en el altiplano,51 months ago,"El Ingeniero en Conservación de Recursos Naturales Sebastián Vidal, que se desempeña en CONAF, realizó sorprendente hallazgo de especie",https://diario.uach.cl/profesional-de-la-uach-realiza-importante-hallazgo-de-sapito-de-cuatro-ojos-en-el-altiplano/,Universidad Austral de Chile
Arica y Parinacota,General Lagos,El éxito del Congreso Regional Escolar de Ciencia y Tecnología de Explora,98 months ago,Variados temas de diversas áreas de investigación fueron presentados por 70 alumnos de la región y el extranjero en esta muestra regional de,https://explora.cl/aricayparinacota/el-exito-del-congreso-regional-escolar-de-ciencia-y-tecnologia-de-explora/,Explora.cl
Arica y Parinacota,General Lagos,Hallan ejemplares de sapito de cuatro ojos en zona que no estaba descrito,52 months ago,"La especie está en las categorías en peligro y rara, y el hallazgo se realizó en un predio de una familia que está en el proyecto Manejo",https://www.lanacion.cl/hallan-ejemplares-de-sapito-de-cuatro-ojos-en-zona-que-no-estaba-descrito/,La Nación
Arica y Parinacota,General Lagos,Las posibles razones de la mortandad de camélidos en General Lagos,121 months ago,"Los ganaderos de la comuna de General Lagos no lo están pasando bien y es que estas últimas semanas, la gran mortandad de camélidos tiene en",https://www.elmorrocotudo.cl/noticia/sociedad/las-posibles-razones-de-la-mortandad-de-camelidos-en-general-lagos,elmorrocotudo.cl
Arica y Parinacota,General Lagos,La historia de las comunidades indígenas Aymaras que le ganaron a la minería en su cerro sagrado,35 months ago,"A 20 metros de la Reserva Nacional Las Vicuñas, una minera canadiense explora, desde 2017, el cerro Anocarire en busca de oro.35 months ago",https://es.mongabay.com/2022/01/comunidades-indigenas-aymaras-que-le-ganaron-a-la-mineria-en-chile/,Mongabay - Conservation News
