title,link,date,comuna
Hasta el Servicio de Evaluación Ambiental del Biobío llegó un grupo de vecinos de Hualqui a manifestar su oposición a la instalación de una,https://cooperativa.cl/noticias/pais/region-del-biobio/vecinos-se-oponen-a-instalacion-de-planta-de-riles-en-hualqui/2019-07-20/095143.html,hace 63 meses,Hualqui
[resumen.cl] A través de una denuncia al sello internacional FSC (Forest Stewardship Council) dedicado a certificar que la industria,https://resumen.cl/articulos/vecino-denuncia-uso-forestal-del-temido-glifosato-y-otros-agrotoxicos-en-hualqui,hace 58 meses,Hualqui
"En la Plaza de Armas de Cauquenes, este lunes 4 de marzo a las 12:30 horas, se llevará a cabo una masiva manifestación para expresar el",https://quirihuenoticias.cl/2024/03/03/ediles-de-comunas-afectadas-por-proyecto-sistema-de-transmision-zonal-grupo-3-se-manifiestan-en-rechazo-al-trazado/,hace 7 meses,Hualqui
En agosto de 2021 se publicó el primero de cuatro informes que el Panel Intergubernamental de Expertos sobre el Cambio Climático de Naciones,https://www.diarioconcepcion.cl/ciencia-y-sociedad/2022/03/24/hualqui-fija-sus-metas-para-enfrentar-los-desafios-del-cambio-climatico.html,hace 31 meses,Hualqui
"[resumen.cl] La mañana de este viernes 21 de julio, se dio a conocer de forma masiva el malestar de la población hualquina por la",https://resumen.cl/articulos/hualqui-se-manifiesta-contra-instalacion-planta-riles-comuna,hace 87 meses,Hualqui
"En representación de la Asociación de Municipalidades por la protección del territorio Nonguén, los alcaldes de Chiguayante, Antonio Rivas;",https://www.radioudec.cl/alcaldes-del-territorio-nonguen-y-la-comunidad-reiteran-observaciones-en-sea-por-proyecto-electrico-mataquito/,hace 26 meses,Hualqui
"[resumen.cl] Pasado el mediodía de este viernes, un grupo de mujeres manifestantes interrumpió un acto por el «día en",https://resumen.cl/articulos/fuera-agresores-cargos-publicos-mujeres-funan-alcalde-concejal-hualqui,hace 59 meses,Hualqui
Vecinos y vecinas de Cauquenes denuncian que la transnacional de capitales españoles Mataquito Transmisora de Energía S.A,https://resumen.cl/articulos/comunidad-de-cauquenes-acusa-a-empresa-de-iniciar-cableado-de-alta-tension-debajo-de-viviendas-sociales-y-dos-anos-antes-de-finalizar-evaluacion-ambiental,.hace 25 meses,Hualqui
Durante esta noche se realizarán las labores de conexión para robustecer el servicio en el sector. Las obras se enmarcan en el plan,https://www.soychile.cl/Concepcion/Sociedad/2016/03/31/384489/Hualqui-contara-con-un-nuevo-estanque-de-abastecimiento-de-agua-potable.aspx,hace 102 meses,Hualqui
"[resumen.cl] La mañana de este viernes 21 de julio, se dio a conocer de forma masiva el malestar de la población hualquina por la",https://resumen.cl/articulos/hualqui-se-manifiesta-contra-instalacion-planta-riles-comuna,hace 87 meses,Hualqui
"Manifestantes cortaron la Ruta 160 en Colcura, Lota, en protesta por un posible desalojo de toma. Testigos denunciaron amenazas con",https://www.latribuna.cl/policial/2024/06/03/manifestantes-cortan-ruta-en-lota-ante-posible-desalojo-de-toma.html,hace 4 meses,Lota
"La planta pertenece a Endesa, firma que fue condenada por el Tribunal Ambiental de Valdivia, tras la demanda presentada por más de 900",https://www.emol.com/noticias/Nacional/2019/01/03/932916/Bocamina-La-termoelectrica-sancionada-por-el-Tribunal-Ambiental-y-su-extenso-conflicto-por-contaminacion-en-Coronel.html,hace 69 meses,Lota
"La semana pasada, 33 mujeres protagonizaron una huelga de hambre en El Chiflón del Diablo, en Lota. Su historia volvió a poner a la ciudad",http://www.quepasa.cl/articulo/actualidad/2010/11/1-4390-9-la-ultima-rebelion-de-lota.shtml/,hace 167 meses,Lota
[resumen.cl] Este lunes el Tribunal Ambiental de Valdivia anunció que condenó a Endesa-Enel como responsable de daño ambiental,https://resumen.cl/articulos/tribunal-ambiental-confirmo-responsabilidad-termoelectrica-bocamina-enel-contaminacion-lota-coronel,hace 69 meses,Lota
Hasta la Plaza Independencia llegó un grupo de choferes quienes acompañados por el senador Navarro denunciaron que el Gobierno los,https://www.soychile.cl/Concepcion/Sociedad/2014/05/30/252603/Conductores-de-CoronelLota-quedaron-desnudos-en-protesta-por-programa-que-les-cambio-sus-micros.aspx%3Ffb_comment_id%3D644658388961381_645166348910585,hace 125 meses,Lota
"4/02 Trabajadores de la Fenats de Lota denuncian que el Hospital de la ex comuna minera, se inundó con aguas servidas. ",https://resumen.cl/articulos/lota-resumen-2010,hace 166 meses,Lota
"Los alumnos llegaron cerca de las 07.30 horas hasta su recinto educacional, ubicado en el sector Lota Alto, donde decidieron realizar la",https://www.soychile.cl/Coronel/Sociedad/2013/03/20/161779/Estudiantes-del-liceo-A45-de-Lota-se-tomaron-su-establecimiento-en-apoyo-a-profesores.aspx%3Ffb_comment_id%3D346068935494494_1615143,hace 139 meses,Lota
"Manifestantes cortaron la Ruta 160 en Colcura, Lota, en protesta por un posible desalojo de toma. Testigos denunciaron amenazas con",https://www.latribuna.cl/policial/2024/06/03/manifestantes-cortan-ruta-en-lota-ante-posible-desalojo-de-toma.html,hace 4 meses,Lota
"La semana pasada, 33 mujeres protagonizaron una huelga de hambre en El Chiflón del Diablo, en Lota. Su historia volvió a poner a la ciudad",http://www.quepasa.cl/articulo/actualidad/2010/11/1-4390-9-la-ultima-rebelion-de-lota.shtml/,hace 167 meses,Lota
[resumen.cl] Durante este jueves 17 de Diciembre se realizó una caravana de ciclistas por las calles de la comuna de Coronel. Los y las,https://resumen.cl/articulos/ciclo-marcha-por-coronel-exigio-ciclovias-para-la-cuenca-del-carbon,hace 46 meses,Lota
La medida fue tomada por los trabajadores después de Carabineros multara a un conductor que participaba del funeral de un integrante del,https://www.soychile.cl/coronel/sociedad/2018/03/22/523514/Las-micros-Lota--Coronel-iniciaron-paro-y-autoridades-piden-reforzar-servicios-del-Biotren,hace 79 meses,Lota
Hasta la Plaza Independencia llegó un grupo de choferes quienes acompañados por el senador Navarro denunciaron que el Gobierno los,https://www.soychile.cl/Concepcion/Sociedad/2014/05/30/252603/Conductores-de-CoronelLota-quedaron-desnudos-en-protesta-por-programa-que-les-cambio-sus-micros.aspx%3Ffb_comment_id%3D644658388961381_645166348910585,hace 125 meses,Lota
"Los habitantes del sector bloquearon la carretera que une Concepción con la Provincia de Arauco, exigiendo una solución al problema que los",https://www.biobiochile.cl/noticias/nacional/region-del-bio-bio/2023/09/08/vecinos-de-fuerte-viejo-en-lota-prenden-barricadas-en-la-ruta-160-seria-por-prolongado-corte-de-agua.shtml,hace 13 meses,Lota
"4/02 Trabajadores de la Fenats de Lota denuncian que el Hospital de la ex comuna minera, se inundó con aguas servidas. ",https://resumen.cl/articulos/lota-resumen-2010,hace 166 meses,Lota
"Las fuertes lluvias registradas en la Región del Biobío causaron el anegamiento de dos consultorios y el Hospital de Lota, que según sus",https://cooperativa.cl/noticias/pais/region-del-biobio/lluvias-provocaron-inundacion-en-el-hospital-de-lota/2014-06-06/115133.html,hace 124 meses,Lota
"Descubre cómo el poderoso sistema frontal que azotó a Santiago dejó un rastro de caos en las calles, con semáforos apagados,",https://reportediario.cl/2024/06/13/caos-en-las-calles-de-santiago-semaforos-apagados-inundaciones-y-acumulacion-de-agua-por-el-intenso-sistema-frontal/,hace 4 meses,Lota
"Con una millonaria inversión y un historial de conflictividad a cuestas, la empresa Aclara ingresó su Estudio de Impacto Ambiental con",https://resumen.cl/articulos/penco-en-la-mira-de-la-mineria-proyecto-de-tierras-raras-ingreso-a-tramitacion-ambiental,hace 17 meses,Penco
"El interés minero nuevamente se enfoca en Penco. Y es que durante estas últimas semanas, se dio a conocer públicamente que la empresa Aclara",https://www.diarioconcepcion.cl/politica/2024/02/25/cores-evaluan-pronunciamiento-politico-por-proyecto-minero-en-penco.html,hace 8 meses,Penco
"Con una millonaria inversión y un historial de conflictividad a cuestas, la empresa Aclara ingresó su Estudio de Impacto Ambiental con",https://resumen.cl/articulos/penco-en-la-mira-de-la-mineria-proyecto-de-tierras-raras-ingreso-a-tramitacion-ambiental,hace 17 meses,Penco
"Principal organización vecinal, junto a un concejal y arquitecto, diseñador del proyecto de Parque para Penco, entre otros,",https://www.diarioconcepcion.cl/economia/2024/02/21/no-cederemos-un-milimetro-en-esto-vecinos-y-agrupaciones-de-penco-dudan-de-nuevo-proyecto-de-tierra-raras.html,hace 8 meses,Penco
[resumen.cl] «Proyecto de Desarrollo Minero de Extracción de Arcillas para Producción de Concentrado de Tierras Raras» es,https://resumen.cl/articulos/empresa-minera-volvio-a-ingresar-proyecto-para-explotar-tierras-raras-en-penco-cuenta-con-cinco-tramitaciones-ambientales-fallidas,hace 4 meses,San Pedro de La Paz
Marcha multisectorial protesta por la falta de dólares y en rechazo a los resultados del Censo. Reclamando por una falta de soluciones a,https://www.nodal.am/2024/09/gremios-y-movimientos-sociales-protestaron-por-la-falta-de-dolares-y-contra-los-resultados-del-censo/,hace 1 mes,San Pedro de La Paz
"En un ambiente de profunda alegría y devoción se celebró la Misa de cierre de la festividad de Nuestra Señora de la Candelaria, en el día de",https://iglesiadeconcepcion.cl/noticias/con-devocion-se-vivio-la-misa-de-cierre-y-procesion-de-la-virgen-de-la-candelaria-en-san-pedro-de-la-paz/,hace 8 meses,San Pedro de La Paz
Marcha multisectorial protesta por la falta de dólares y en rechazo a los resultados del Censo. Reclamando por una falta de soluciones a,https://www.nodal.am/2024/09/gremios-y-movimientos-sociales-protestaron-por-la-falta-de-dolares-y-contra-los-resultados-del-censo/,hace 1 mes,San Pedro de La Paz
