region,comuna,titulo,fecha,bajada,link,medio
Arica y Parinacota,Arica,Nuevo traspié para Quiborax: CDE rechaza mediación por conflicto en Salar de Surire,2024-10-08,Empresa espera que ahora Tribunal Ambiental lidere propuesta.3 months ago,https://www.soychile.cl/Arica/Sociedad/2024/09/10/876207/mediacion-quiborax-arica.html,SoyChile.cl
Arica y Parinacota,Arica,"Contaminación del aire, basura y ruidos son los principales problemas ambientales del país - Arica y Parinacota",2019-05-09,"Veinticinco años atrás el cuidado del medio ambiente era un tema aún más emergente, Tímidamente se comenzaba a hablar de reciclaje en los",https://explora.cl/aricayparinacota/contaminacion-del-aire-basura-y-ruidos-son-los-principales-problemas-ambientales-del-pais-1/,Explora.cl
Arica y Parinacota,Arica,"""Llevamos 36 años muriendo"": las dramáticas consecuencias de los residuos tóxicos abandonados por Suecia en Chile hace tres décadas",2021-07-14,"María José Bejares llegó a vivir a la población Los Industriales, ubicada en Arica, en el norte de Chile, en 1991. Recuerda bien cómo ella,",https://www.bbc.com/mundo/noticias-america-latina-57474736,BBC
Arica y Parinacota,Camarones,Pampa Camarones: el proyecto en que participa la familia de Piñera que obtuvo financiamiento público y se autorizó durante sus gobiernos,2022-11-16,En mayo de 2018 Pampa Camarones obtuvo el permiso ambiental para explotar dos minas de cobre en la Región de Arica.25 months ago,https://www.ciperchile.cl/2022/11/16/pampa-camarones-el-proyecto-en-que-participa-la-familia-de-pinera-que-obtuvo-financiamiento-publico-y-se-autorizo-durante-sus-gobiernos/,- CIPER Chile
Arica y Parinacota,Camarones,Comunidad Aymara de Umirpa gana recurso de protección contra empresa canadiense Andex Minerals,2021-09-02,"Se determinó que los trabajos realizados por Andex Minerals han dañado la flora como la Llareta y Queñua y fauna protegida del sector,",https://radio.uchile.cl/2021/09/02/comunidad-aymara-de-umirpa-gana-recurso-de-proteccion-contra-empresa-canadiense-andex-minerals/,Radio Universidad de Chile
Arica y Parinacota,Camarones,El pueblo que evolucionó para resistir el arsénico,2017-04-02,"El río Camarones posee altas concentraciones de arsénico, lo que hizo que sus habitantes desarrollaran una sorprendente variante de una",https://www.latercera.com/noticia/pueblo-evoluciono-resistir-arsenico/,La Tercera
Arica y Parinacota,Camarones,Tribunal Ambiental condena a Pampa Camarones por daño ambiental irreparable,2018-04-11,"El Tribunal Ambiental de Santiago, por la unanimidad de sus ministros, acogió la demanda de reparación por daño ambiental interpuesta por el",https://www.latercera.com/pulso/tribunal-ambiental-resuelve-pampa-camarones-causo-dano-ambiental-irreparable-le-ordena-repararlo/,La Tercera
Arica y Parinacota,General Lagos,Pago del permiso de circulación en la municipalidad de General Lagos: Revisa el acceso directo para cancelarlo,2024-11-26,El permiso de circulación en Chile es un trámite obligatorio para todos los vehículos que transitan por las calles del país.1 month ago,https://www.meganoticias.cl/nacional/467663-pago-del-permiso-de-circulacion-en-la-municipalidad-de-general-lagos-revisa-el-acceso-directo-para-cancelarlo.html,Meganoticias
Arica y Parinacota,General Lagos,El éxito del Congreso Regional Escolar de Ciencia y Tecnología de Explora,2019-05-09,Variados temas de diversas áreas de investigación fueron presentados por 70 alumnos de la región y el extranjero en esta muestra regional de,https://explora.cl/aricayparinacota/el-exito-del-congreso-regional-escolar-de-ciencia-y-tecnologia-de-explora/,Explora.cl
Arica y Parinacota,General Lagos,Hallan ejemplares de sapito de cuatro ojos en zona que no estaba descrito,2023-03-13,"La especie está en las categorías en peligro y rara, y el hallazgo se realizó en un predio de una familia que está en el proyecto Manejo",https://www.lanacion.cl/hallan-ejemplares-de-sapito-de-cuatro-ojos-en-zona-que-no-estaba-descrito/,La Nación
Arica y Parinacota,Putre,CONAF entrega capacitación y oportunidades laborales a comunidades andinas de la Biósfera Lauca,2024-09-02,"Junto a los niños y niñas de la Escuela San Santiago de Belén, en la precordillera de Putre, la Corporación Nacional Forestal, CONAF,",https://www.conaf.cl/conaf-entrega-capacitacion-y-oportunidades-laborales-a-comunidades-andinas-de-la-biosfera-lauca/,Conaf
Arica y Parinacota,Putre,"CDE demanda a Quiborax por 37 años de daño ambiental ""irreparable"" en Salar de Surire",2024-07-03,"La compañía señaló a DF que aún no ha sido notificada de la acción judicial y niega los hechos: ""Resulta inverosímil pensar que hemos",https://www.df.cl/empresas/mineria/cde-demanda-a-quiborax-por-dano-ambiental-de-37-anos-e-irreparable-en,Diario Financiero
Arica y Parinacota,Putre,"Aquí Arica: Estado se enfrenta al Estado, directora MOP con licencia en Canadá y accidentes en Putre",2024-12-17,"En esta edición de Aquí Arica, el CFT Estatal quedó sin sede para 2025 por una expropiación del Minvu, generando un conflicto entre",https://www.elmostrador.cl/aqui-arica/2024/12/17/aqui-arica-estado-se-enfrenta-al-estado-directora-mop-con-licencia-en-canada-y-camiones-en-putre/,El Mostrador
Arica y Parinacota,Putre,Revelan causa de muerte de conscripto en Putre: Informe de la autopsia descarta participación de terceros,2024-05-04,"El soldado de 19 años murió tras ser sometido, junto a otros conscriptos, a una caminata en condiciones climáticas extremas,",https://www.cnnchile.com/pais/causa-muerte-conscripto-putre-descarta-participacion-terceros_20240504/,CNN Chile
Tarapacá,Alto Hospicio,Geografía de la Ropa desechada en Chile: Desierto de Atacama se ha convertido en un gran basural textil,2021-12-27,La industria de ropa es una de las más contaminantes del mundo. Su producción implica el uso de grandes volúmenes de agua y además la,https://www.uchile.cl/noticias/182923/geografia-de-la-ropa-desechada-en-chile-la-moda-que-nos-mata,Universidad de Chile
Tarapacá,Colchane,"10 cosas que debes saber de Colchane, el epicentro de la crisis migratoria en Chile",2021-03-07,"Tiene 1.583 habitantes, la mayoría de origen aymara, pero el lunes llegaron más de mil extranjeros que ingresaron de manera ilegal al país.46 months ago",https://www.ex-ante.cl/10-cosas-que-debes-saber-colchane-el-epicentro-de-la-crisis-migratoria-n-chile/,Ex-Ante
Tarapacá,Huara,Corte Suprema confirmó sentencia del Tribunal Ambiental que rechazó reclamación contra aprobación de proyecto minero Paguanta | Tribunal Ambiental,2016-05-20,"La Corte Suprema rechazó los recursos de casación en la forma y en el fondo interpuestos contra el Tribunal Ambiental de Santiago,",https://tribunalambiental.cl/corte-suprema-confirmo-sentencia-del-tribunal-ambiental-que-rechazo-reclamacion-contra-aprobacion-de-proyecto-minero-paguanta/,Tribunal Ambiental |
Tarapacá,Iquique,Expertos advierten sobre impacto en tamarugos por excesiva extracción de agua subterránea,2023-09-25,El tamarugo es una especie endémica del norte de Chile y crece precisamente en la Pampa del Tamarugal entre los 1.000 y 1.100 metros de,https://www.pucv.cl/pucv/noticias/destacadas/expertos-advierten-sobre-impacto-en-tamarugos-por-excesiva-extraccion-de,Pontificia Universidad Católica de Valparaíso
Tarapacá,Pozo Almonte,Refuerzan campaña “El Otro Plan” en la comuna de Pozo Almonte,2024-12-08,Con recomendaciones preventivas SENDA Tarapacá junto al equipo de SENDA Previene y Carabineros de Pozo Almonte reforzó la campaña el Otro,https://www.soychile.cl/Iquique/Sociedad/2024/12/24/889032/campana-comuna-pozo-almonte.html,soychile.cl
Tarapacá,Pozo Almonte,Cómo pagar el permiso de circulación en la municipalidad de Pozo Almonte: Revisa el acceso directo,2024-11-27,El permiso de circulación en Chile es un trámite obligatorio para todos los vehículos que transitan por las calles del país.1 month ago,https://www.meganoticias.cl/nacional/467838-pago-del-permiso-de-circulacion-en-la-municipalidad-de-alto-hospicio-revisa-el-acceso-directo-para-cancelarlo.html,Meganoticias
Tarapacá,Pozo Almonte,Copec adquiere parque fotovoltaico Granja Solar en Pozo Almonte en US$ 91 millones,2024-04-23,Activos corresponden a proceso de Liquidación de la Unidad Económica María Elena Solar.8 months ago,https://www.df.cl/empresas/energia/copec-adquiere-parque-fotovoltaico-granja-solar-en-pozo-almonte-en-us,Diario Financiero
Tarapacá,Pozo Almonte,Dos vecinas de Pozo Almonte fallecieron en accidente de bus ocurrido en Bolivia,2024-08-08,"Habrían viajado al vecino país para comprar accesorios para las vestimentas de un baile religioso, que se celebrará en el poblado de",https://www.soychile.cl/iquique/policial/2024/07/22/869541/accidente-vehicular-victima-fatal-iquique.html,soychile.cl
Tarapacá,Pozo Almonte,Alcalde de Pozo Almonte presiona al SEA para aprobar proyecto minero al que empresa de su hermana presta servicios – Fundación Terram,2023-12-22,"A través de una carta, el alcalde Godoy pidió a la directora del SEA aprobar la ampliación de Cosayach, minera de Francisco Javier Errázuriz",https://www.terram.cl/alcalde-de-pozo-almonte-presiona-al-sea-para-aprobar-proyecto-minero-al-que-empresa-de-su-hermana-presta-servicios/,Fundación Terram
Antofagasta,Antofagasta,Conflicto por proyecto Dominga continúa: tribunal declara nulo rechazo ambiental del Comité de Ministros,2024-12-09,"El fallo unánime declara ilegal la resolución del Comité de Ministros, reabriendo el debate sobre la polémica minera.3 weeks ago",https://www.adnradio.cl/2024/12/09/conflicto-por-proyecto-dominga-continua-tribunal-declara-nulo-rechazo-ambiental-del-comite-de-ministros/,ADN Radio
Antofagasta,Calama,Médicos chilenos alertan de una crisis de salud infantil en el corazón de la minería de cobre,2024-12-22,Pediatras y especialistas acusan a las autoridades chilenas de hacer la vista gorda ante los crecientes casos de autismo y cáncer en la,https://elpais.com/america-futura/2024-12-22/medicos-chilenos-alertan-de-una-crisis-de-salud-infantil-en-el-corazon-de-la-mineria-de-cobre.html,EL PAÍS
Antofagasta,María Elena,Línea de transmisión Kimal-Lo Aguirre ingresa Estudio de Impacto Ambiental para iniciar obras,2023-10-23,El megaproyecto que une Antofagasta y Santiago busca estar finalizado en 2029.14 months ago,https://www.df.cl/empresas/energia/linea-de-transmision-kimal-lo-aguirre-ingresa-estudio-de-impacto,Diario Financiero
Antofagasta,María Elena,"Barómetro Antofagasta: corrupción, clase política y delincuencia destacan como los principales problemas",2021-08-27,"La corrupción, con un 22%, seguida de la clase política (16%), delincuencia (16%) y desigualdad con un (15%), son considerados por la",https://radiosol.cl/barometro-antofagasta-corrupcion-clase-politica-y-delincuencia-destacan-como-los-principales-problemas/,Radio Sol
Antofagasta,Mejillones,Revista Nueva Minería,2024-02-08,"La unidad generadora es operada por Engie Chile, y forma parte de las centrales que la propia firma de capitales franceses ha solicitado",https://www.nuevamineria.com/revista/sea-revisa-permiso-ambiental-de-central-termoelectrica-en-mejillones/,Revista Nueva Minería y Energía
Antofagasta,Mejillones,"QUINTERO, PUCHUNCAVÍ, ANTOFAGASTA Y MEJILLONES. Los empresarios y el gobierno son responsables de las “zonas de sacrificio”",2018-10-04,El debate por la contaminación ha sacudido las carteras de medio ambiente y salud del gobierno ante la vulneración a los derechos humanos.75 months ago,https://www.laizquierdadiario.com/Los-empresarios-y-el-gobierno-son-responsables-de-las-zonas-de-sacrificio,La Izquierda Diario
Antofagasta,San Pedro de Atacama,Prohíben funcionamiento de fábrica de empanadas en San Pedro de Atacama por problemas de limpieza e infraestructura,2024-08-27,La prohibición de funcionamiento de una fábrica de empanadas en San Pedro de Atacama dejó una fiscalización previa a Fiestas Patrias que,https://www.timeline.cl/prohiben-funcionamiento-de-fabrica-de-empanadas-en-san-pedro-de-atacama-por-problemas-de-limpieza-e-infraestructura/,Timeline.cl
Antofagasta,Sierra Gorda,Piden sesión especial de Comisión de Medioambiente por contaminación en Sierra Gorda,2024-11-04,"La parlamentaria por la región de Antofagasta busca exigir respuestas urgentes de las autoridades, ante la falta de acciones por la",https://www.terram.cl/piden-sesion-especial-de-comision-de-medioambiente-por-contaminacion-en-sierra-gorda/,Fundación Terram
Antofagasta,Sierra Gorda,Exigen cumplimiento de normativa ambiental a raíz de contaminación que afecta a habitantes de Sierra Gorda,2024-09-03,"La parlamentaria independiente por la Región de Antofagasta, solicitó medidas urgentes para abordar la contaminación por exposición a",https://elamerica.cl/2024/09/03/exigen-cumplimiento-de-normativa-ambiental-a-raiz-de-contaminacion-que-afecta-a-habitantes-de-sierra-gorda/,Diario El America
Antofagasta,Sierra Gorda,"Ricardo Díaz, el dirigente ambiental que busca la reelección como Gobernador Regional de Antofagasta",2024-11-26,"Rodrigo Díaz, líder del movimiento ""Este polvo te mata"", busca concretar un segundo período como Gobernador Regional de Antofagasta.1 month ago",https://www.elciudadano.com/politica/ricardo-diaz-el-dirigente-ambiental-que-busca-la-reeleccion-en-el-gobierno-regional-de-antofagasta/11/22/,elciudadano.com
Antofagasta,Taltal,SEA admite a trámite evaluación ambiental para parque eólico y solar Thayari en Taltal,2024-05-09,También tendrá almacenamiento de energía mediante baterías. Inversión estimada de US$407 millones.8 hours ago,https://www.soychile.cl/Antofagasta/Sociedad/2025/01/02/889956/parque-energia-solar-afta.html,soychile.cl
Atacama,Alto del Carmen,Alerta desde Atacama: Mercantilización del agua amenaza secar el río El Carmen,2022-03-02,"Hace unos meses surgió la alerta sobre un conflicto que involucra a las aguas del río Matancilla, afluente de los ríos El Carmen y Huasco.34 months ago",https://radiojgm.uchile.cl/alerta-desde-atacama-mercantilizacion-del-agua-amenaza-secar-el-rio-el-carmen/,Radio JGM
Atacama,Alto del Carmen,Conflictos ambientales: escasez de agua enciende la agenda ciudadana en el país,2015-03-30,Las escasas precipitaciones han sido motivo de conflictos sociales en al menos 47 puntos del territorio.117 months ago,https://www.latercera.com/diario-impreso/conflictos-ambientales-escasez-de-agua-enciende-la-agenda-ciudadana-en-el-pais/,La Tercera
Atacama,Alto del Carmen,José Antonio Kast: “Iría de Constituyente y no como experto si participara del nuevo proceso constitucional”,2023-02-06,,https://www.chanarcillo.cl/jose-antonio-kast-iria-de-constituyente-y-no-como-experto-si-participara-del-nuevo-proceso-constitucional/,Diario Chañarcillo
Atacama,Caldera,Vocera Sofía Vargas sobre el CRAS: “Es una oportunidad única para trabajar mancomunadamente y responsabilizarnos de los problemas ambientales que aquejan a Atacama”,2025-01-22,"El CRAS tiene por objeto contribuir a la elaboración participativa del Programa para la Recuperación Ambiental y Social de Huasco (PRAS), que tiene por",https://www.rtnoticias.cl/regional/vocera-sofia-vargas-sobre-el-cras-es-una-oportunidad-unica-para-trabajar-mancomunadamente-y-responsabilizarnos-de-los-problemas-ambientales-que-aquejan-a-atacama,www.rtnoticias.cl
Atacama,Copiapó,Chile: el Parque Nacional Desierto Florido nace para proteger más de 200 especies de flores y plantas,2023-08-08,"El área protegida resguardará uno de los paisajes más célebres del país y que se observa cuando, tras la lluvia, florece el desierto de",https://es.mongabay.com/2023/07/parque-nacional-desierto-florido-protege-mas-de-200-especies-de-flores-y-plantas-chile/,Mongabay
Atacama,Diego de Almagro,Lanzan proyecto ambiental «Un Bosque en el Desierto» en Diego de Almagro,2024-12-12,"La iniciativa combina educación comunitaria, ciencia y conservación ambiental para combatir la contaminación mediante tecnologías de",https://www.elzorronortino.cl/energia-y-mineria/lanzan-proyecto-ambiental-un-bosque-en-el-desierto-en-diego-de-almagro/,Medio digital El Zorro Nortino
Atacama,Diego de Almagro,Avanza mesa de trabajo ambiental en la Provincia de Chañaral.,2024-07-12,Esta mesa forma parte de un proceso participativo que permitirá generar propuestas de soluciones a las problemáticas ambientales de los,https://www.atacamanoticias.cl/2024/07/12/avanza-mesa-de-trabajo-ambiental-en-la-provincia-de-chanaral/,Atacama Noticias
Atacama,Diego de Almagro,Chinchillas desaparecidas en minera de Gold Fields en Atacama podrían estar muertas: “Es catastrófico”,2024-06-03,Una colonia completa de chinchillas de cola corta desapareció de su hábitat luego de que se instalara en el lugar —que resultó ser una,https://www.terram.cl/chinchillas-desaparecidas-en-minera-de-gold-fields-en-atacama-podrian-estar-muertas-es-catastrofico/,Fundación Terram
Atacama,Freirina,Estudio revela que 74% de los habitantes de Freirina está dispuesto a que vuelva Agrosuper,2014-05-09,(Foto: Agencia Uno/Archivo) Una encuesta realizada por la Universidad de Atacama reveló que un 74 por ciento de los habitantes de Freirina,https://www.t13.cl/noticia/actualidad/estudio-revela-que-74-de-los-habitantes-de-freirina-esta-dispuesto-a-que-vuelva-agrosup,T13
Atacama,Tierra Amarilla,Departamento de Medio Ambiente evidenció daño ambiental causado por Minera Candelaria ante Consejo Municipal de Tierra Amarilla,2024-10-07,Acompañado de datos oficiales y fotografías satelitales del socavón y del cambio del color del suelo desde la instalación de la Compañía,https://madero.cl/departamento-de-medio-ambiente-evidencio-dano-ambiental-causado-por-minera-candelaria-ante-consejo-municipal-de-tierra-amarilla/,Madero CL
Atacama,Tierra Amarilla,Tierra Amarilla: Fiscalía concretó formalización de diputado Mulet en causa vigente de cohecho pasivo,2022-11-07,En la audiencia se fijó además fecha para proceder a la reformalización de dos imputados que también son investigados por el Ministerio,http://www.fiscaliadechile.cl/Fiscalia/fiscalias_atacama/noticias_det.do%3Fid%3D21424,--- Fiscalía de Chile
Atacama,Vallenar,Vallenar: Comunidades en alerta ante el proyecto de una mega carretera eléctrica “Kimal Lo Aguirre”,2023-12-30,"Siendo una comunidad directamente afectada por el proyecto Kimal Lo Aguirre, una mega carretera eléctrica compuesta de 2684 torres de alta.12 months ago",https://resumen.cl/articulos/vallenar-comunidades-en-alerta-ante-el-proyecto-de-una-mega-carretera-electrica-kimal-lo-aguirre,Resumen.cl
Atacama,Vallenar,SEA pone término anticipado a proyecto fotovoltaico de US$ 460 millones en Vallenar,2024-08-08,"El Servicio de Evaluación Ambiental (SEA) decidió finalizar el proceso de evaluación del proyecto “Las Cunas” de FRV Services Chile,",https://www.ex-ante.cl/sea-pone-termino-anticipado-a-proyecto-fotovoltaico-de-us-460-millones-en-vallenar/,Ex-Ante
Coquimbo,Andacollo,Relleno Sanitario “El Panul”: Un peligro sanitario real para la comunidad coquimbana,2021-06-20,"En estos nuevos aíres de cambio en la comuna de Coquimbo, esperamos que se afronte como debe ser, el término del vertedero – relleno,",https://ovallehoy.cl/relleno-sanitario-el-panul-un-peligro-sanitario-real-para-la-comunidad-coquimbana/,Ovalle Hoy
Coquimbo,Andacollo,Tronaduras e impactos de la megaminería: El S.O.S desde la comunidad El Toro en Andacollo,2021-12-21,"Nuevamente habitantes del pueblo rural Comunidad El Toro de Andacollo se ven afectados por los impactos de tronadura,",https://www.elciudadano.com/mineria/tronaduras-e-impactos-de-la-megamineria-el-s-o-s-desde-la-comunidad-el-toro-en-andacollo/12/21/,elciudadano.com
Coquimbo,Coquimbo,Desertificación y sequía en la Región de Coquimbo: retos y estrategias ante el cambio climático,2024-07-03,"Estas son las noticias más interesantes del día en materia de sostenibilidad en Chile. Organizaciones como Wild Lama, Gobierno de Chile,",https://www.corresponsables.com/chl/actualidad/medioambiente/desertificacion-y-sequia-en-la-region-de-coquimbo-retos-y-estrategias-ante-el-cambio-climatico/,Corresponsables
Coquimbo,Coquimbo,"Conservación, desarrollo y conflicto: el eterno debate de la Minera Dominga",2024-12-18,El autor de esta columna escrita para CIPER recorre y analiza el a estas alturas interminable proceso de constantes y sucesivos retrocesos y,https://www.ciperchile.cl/2024/12/18/conservacion-desarrollo-y-conflicto-el-eterno-debate-de-la-minera-dominga/,- CIPER Chile
Coquimbo,Illapel,Cinco nuevos sistemas de reúso de aguas residuales tratadas enfrentan la sequía de la región de Coquimbo,2023-07-09,"Las iniciativas de reúso implementadas en las comunas de Illapel, Monte Patria, La Serena y Vicuña, buscan darle un nuevo uso a efluentes",https://fch.cl/noticias/cinco-nuevos-sistemas-de-reuso-de-aguas-residuales-tratadas-enfrentan-la-sequia-de-la-region-de-coquimbo/,Fundación Chile
Coquimbo,La Higuera,El millonario proyecto minero Dominga vuelve a las manos del Gobierno de Boric,2024-12-10,Un fallo del Tribunal Ambiental anula la decisión del Comité de Ministros de la Administración de izquierdas que en 2023 rechazó y ordena,https://elpais.com/chile/2024-12-10/el-millonario-proyecto-minero-dominga-vuelve-a-las-manos-del-gobierno-de-boric.html,EL PAÍS
Coquimbo,La Higuera,Justicia falla a favor de Dominga y revoca rechazo del Comité de Ministros al controversial proyecto,2024-12-10,El Tribunal Ambiental de Antofagasta acogió la reclamación presentada por Andes Iron SpA. Las organizaciones medioambientales afirmaron que,https://radio.uchile.cl/2024/12/10/tribunal-dejo-sin-efecto-rechazo-del-consejo-de-ministros-al-controversial-proyecto-dominga/,Radio Universidad de Chile
Coquimbo,La Higuera,Crisis en suministro de agua en La Higuera por problemas con tuberías provisorias instaladas,2023-10-14,"En una preocupante notificación, el comité APR de La Higuera ha informado a sus socios, socias y usuarios que las tuberías de alto desempeño",https://www.elcomunal.cl/comunales/2023/10/14/crisis-en-suministro-de-agua-en-la-higuera-por-problemas-con-tuberias-provisorias-instaladas/,El Comunal
Coquimbo,La Serena,"Aquí Coquimbo: guerra santa por el agua, problemas en la UDI y el premio Archipiélago de Humboldt",2024-12-09,"Descubre en esta edición de Aquí Coquimbo los conflictos por el agua en el embalse La Paloma, las tensiones internas en la UDI regional y",https://www.elmostrador.cl/aqui-coquimbo/2024/12/09/aqui-coquimbo-guerra-santa-por-el-agua-problemas-en-la-udi-y-el-premio-archipielago-de-humboldt/,El Mostrador
Coquimbo,La Serena,Desencuentros y mayores exigencias: Aumentan conflictos en concejos municipales en víspera de elecciones,2024-10-04,Mayores son los desencuentros y más compleja es la convivencia entre aquellas autoridades que buscan su reelección o postulan a un nuevo,https://www.diarioeldia.cl/noticias/2024/10/04/123000-desencuentros-y-mayores-exigencias-aumentan-conflictos-en-concejos-municipales-en-vispera-de-elecciones,El Día
Coquimbo,La Serena,Ola de indignación en Chile tras aprobación del proyecto minero y portuario Dominga,2021-09-06,"La comunidad científica y civil, funcionarios de gobiernos y políticos han declarado su indignación tras la aprobación del proyecto minero y",https://es.mongabay.com/2021/08/ola-de-indignacion-en-chile-proyecto-minero-y-portuario-dominga/,Mongabay - Conservation News
Coquimbo,Los Vilos,Chile: proyecto minero en la extracción de cobre avanza con 32 personas demandadas y un amplio prontuario ambiental,2024-04-08,"En 2023 fue aprobado por unanimidad el proyecto Adaptación Operacional de Minera Los Pelambres, que permitirá reubicar las tuberías que",https://es.mongabay.com/2024/03/chile-proyecto-minero-cobre-avanza-personas-demandadas-amplio-prontuario-ambiental/,Mongabay
