region,comuna,titulo,fecha,bajada,link,medio,label,score
Arica y Parinacota,Arica,INDH abordó los conflictos medioambientales que enfrentan las mujeres indígenas del norte,2024-10-21,"Es la primera vez que el INDH organiza un encuentro de este tipo, lo que hizo posible que mujeres de Arica y Parinacota, Tarapacá,",https://www.indh.cl/indh-abordo-los-conflictos-medioambientales-que-enfrentan-las-mujeres-indigenas-del-norte/,Instituto Nacional de Derechos Humanos (INDH),conflicto ambiental,0.8061808347702026
Arica y Parinacota,Arica,Superintendenta Plumer visita la Región de Arica y Parinacota para reunirse con autoridades locales,2023-12-06,Se trata de la primera visita oficial de la jefa del Servicio a la región del norte extremo del país y tuvo como fin abordar distintas,https://portal.sma.gob.cl/index.php/superintendenta-plumer-visita-la-region-de-arica-y-parinacota-para-reunirse-con-autoridades-locales/,Superintendencia Del Medio Ambiente – Gobierno de Chile,otros,0.5933713316917419
Arica y Parinacota,Arica,Quiborax: Empresa denunciada por daño ambiental a Salar de Surire busca obtener contrato para explotar litio,2024-07-05,La minera Quiborax está demandada por el Consejo de Defensa del Estado debido a presuntamente haber generado daño ambiental irreparable,https://resumen.cl/articulos/quiborax-empresa-denunciada-por-dano-ambiental-a-salar-de-surire-busca-obtener-contrato-para-explotar-litio,Resumen.cl,conflicto ambiental,0.7882824540138245
Arica y Parinacota,Arica,Sesión especial de seguridad pública en Arica: alcalde Espíndola exigió un plan especial y mayor enfoque en problemas migratorios,2024-09-01,"En una reunión presidida por el senador Iván Flores, se abordaron las preocupaciones de seguridad pública en la región. El alcalde de Arica,",https://g5noticias.cl/2024/09/01/sesion-especial-de-seguridad-publica-en-arica-alcalde-espindola-exigio-un-plan-especial-y-mayor-enfoque-en-problemas-migratorios/,G5noticias,otros,0.5795031785964966
Arica y Parinacota,Arica,Desafíos ambientales en Arica Parinacota,2015-01-05,"El Profesor Cristián Estades, estuvo a cargo del equipo que recorrió la región para realizar el diagnóstico sobre fauna.hace 118 meses",https://forestal.uchile.cl/noticias/108552/desafios-ambientales-en-arica-parinacota,Forestal Uchile,conflicto ambiental,0.9747873544692992
Arica y Parinacota,Arica,Investigación de Ciper revela la fórmula de minera Quiborax para saltarse las reglas en el Salar de Surire,2024-03-06,"Una profunda investigación periodística expone el conflicto entre la empresa minera Quiborax y la Corporación Nacional Forestal (Conaf),",https://www.adnradio.cl/2024/03/06/investigacion-de-ciper-revela-la-formula-de-minera-quiborax-para-saltarse-las-reglas-en-el-salar-de-surire/,ADN Radio,otros,0.5072531700134277
Arica y Parinacota,Arica,"Contaminación del aire, basura y ruidos son los principales problemas ambientales del país - Arica y Parinacota",2019-05-09,"Veinticinco años atrás el cuidado del medio ambiente era un tema aún más emergente, Tímidamente se comenzaba a hablar de reciclaje en los",https://www.explora.cl/aricayparinacota/contaminacion-del-aire-basura-y-ruidos-son-los-principales-problemas-ambientales-del-pais-1/,Explora.cl,conflicto ambiental,0.964220941066742
Arica y Parinacota,Arica,Arica: un caso de contaminación ambiental por negligencia,2024-12-04,Dr. Ricardo Barra Ríos Director Centro Eula Académico Fac. de Cs. Ambientales Universidad de Concepción. El documental Arica del director,https://www.diarioconcepcion.cl/opinion/2021/02/14/arica-un-caso-de-contaminacion-ambiental-por-negligencia.html,Diario Concepción,conflicto ambiental,0.9536070227622986
Arica y Parinacota,Arica,Arica en alerta: así afectan los altos niveles de contaminación costera a la fauna marina,2019-03-29,La contaminación en la costa de Arica ha llegado a niveles preocupantes. Así lo comprobaron los Voluntarios por el Océano que asistieron a,https://laderasur.com/articulo/arica-en-alerta-asi-afectan-los-altos-niveles-de-contaminacion-costera-la-fauna-marina/,Ladera Sur,otros,0.5257269740104675
Arica y Parinacota,Arica,La fórmula de minera Quiborax para saltarse las reglas en el Salar de Surire,2024-03-06,"La Superintendencia de Medio Ambiente investiga a la empresa minera Quiborax, luego de que la Corporación Nacional Forestal (Conaf) la",https://www.ciperchile.cl/2024/03/06/la-formula-de-minera-quiborax-para-saltarse-las-reglas-en-el-salar-de-surire/,- CIPER Chile,conflicto ambiental,0.504730761051178
Arica y Parinacota,Arica,"Primer Tribunal Ambiental resuelve reclamaciones contra la declaratoria del Ministerio de Medio Ambiente de humedal urbano “Desembocadura del Río Lluta”, ubicado en la comuna de Arica, Región de Arica y Parinacota",2024-06-21,"Cuatro son las reclamaciones respecto de las cuales este 04 de junio se pronunció el Primer Tribunal Ambiental, todas ellas presentadas en",https://www.1ta.cl/primer-tribunal-ambiental-resuelve-reclamaciones-humedales-arica/,Primer Tribunal Ambiental,conflicto ambiental,0.5865758061408997
Arica y Parinacota,Arica,"La estela del gobierno de Piñera, conflictos de interés y financiamiento al proyecto minero Pampa Camarones",2022-11-19,"El miércoles 16 de noviembre, la revista CIPER publicó una investigación sobre la participación de la familia Piñera en el proyecto minero",https://www.laizquierdadiario.cl/La-estela-del-gobierno-de-Pinera-conflictos-de-interes-y-financiamiento-al-proyecto-minero-Pampa,La Izquierda Diario Chile,otros,0.5612009167671204
Arica y Parinacota,Arica,"Ministerio de Salud inauguró en Arica moderno Laboratorio de Salud Pública, Ambiental y Laboral",2015-10-23,El laboratorio será capaz de realizar toda la matriz de análisis básicos en el modelo de gestión de laboratorios de Salud Pública en,https://www.interior.gob.cl/noticias-regionales/2015/10/23/ministerio-de-salud-inauguro-en-arica-moderno-laboratorio-de-salud-publica-ambiental-y-laboral/,Ministerio del Interior y Seguridad Pública,conflicto ambiental,0.5253124237060547
Arica y Parinacota,Arica,Autoridades,2024-10-01,"Ministra del Medio Ambiente. Doctora en Ciencias Atmosféricas de la Universidad de Oxford, Reino Unido. Se desempeñó como profesora asociada en el",https://mma.gob.cl/autoridades/,mma.gob.cl,otros,0.650108277797699
Arica y Parinacota,Arica,"«En Arica, se contamina con arsénico y quieren contaminar también con residuos de desalinización» por Miguel Silva",2024-07-21,"Los dos valles en Arica están contaminados con materiales pesados como arsénico, y como tal, han aparecido enfermedades raras…hace 3 meses",https://www.revistadefrente.cl/en-arica-se-contamina-con-arsenico-y-quieren-contaminar-tambien-con-residuos-de-desalinizacion-por-miguel-silva/,Revista De Frente,otros,0.5612235069274902
Arica y Parinacota,Arica,Humedal de Arica: Un pulmón en el desierto de Atacama bajo seria amenaza,2019-01-16,Se estima que en Chile existen cerca de 18 mil humedales y solo el 2 % cuenta con algún tipo de protección. El humedal del río Lluta es el,https://es.mongabay.com/2019/01/chile-humedal-de-arica-bajo-amenaza/,Mongabay - Conservation News,conflicto ambiental,0.5275098085403442
Arica y Parinacota,Arica,Senador UDI teme enfrentamiento de chilenos y bolivianos por bloqueo de carretera en Arica,2024-10-19,"Una compleja situación se vive en la Ruta 11-CH, que conecta la Región de Arica y Parinacota con Bolivia, por el paro indefinido de los",https://cooperativa.cl/noticias/pais/region-de-arica/senador-udi-teme-enfrentamiento-de-chilenos-y-bolivianos-por-bloqueo-de/2024-10-19/175658.html,Cooperativa.cl,otros,0.5832785964012146
Arica y Parinacota,Arica,20 mil toneladas de desechos tóxicos en Arica: el crimen ambiental del que Suecia ni Chile se hace cargo,2021-05-30,"En 1998 la Corte Suprema ordenó medidas de seguridad para las miles de toneladas de desechos tóxicos, de origen sueco que fueron vertidos",https://www.elmostrador.cl/destacado/2021/05/30/inclumplimiento-toxico-hace-22-anos-la-corte-suprema-ordeno-retirar-las-20-mil-toneladas-de-desechos-quimicos-suecos-de-arica-pero-siguen-ahi/,El Mostrador,conflicto ambiental,0.9714306592941284
Arica y Parinacota,Arica,Tribunal concluyó que Pampa Camarones causó daño ambiental irreparable y la condenó a repararlo,2024-11-28,Acogió demanda de reparación por daño ambiental presentada por el Estado en contra del titular del proyecto minero ubicado en la Región de,https://tribunalambiental.cl/sentencia-d-25-2016-pampa-camarones/,Tribunal Ambiental |,conflicto ambiental,0.7672808766365051
Arica y Parinacota,Arica,La olvidada zona gris de Arica,2021-07-09,En 2015 Alejandra Yucra desocupó la casa que fue su hogar por casi 20 años. La esperanza de la vivienda propia en el Cerro Chuño de Arica se,https://doble-espacio.uchile.cl/2021/07/09/la-olvidada-zona-gris-de-arica/,Universidad de Chile,otros,0.5167585015296936
