id_noticia,id_accion_contenciosa,id_conflicto,fecha,link,medio,tipo_medio,region,columna,localidad_accion,periodo,tipo_energia,subtipo_renovable,tipo_conflicto,tipo_accion,tipo_actor_demandante,actor_demandante,tipo_actor_demandado,actor_demandado,bajada
,,,2024-10-21,https://www.indh.cl/indh-abordo-los-conflictos-medioambientales-que-enfrentan-las-mujeres-indigenas-del-norte/,Instituto Nacional de Derechos Humanos (INDH),,Arica y Parinacota,Arica,,,,,,,,,,,"Es la primera vez que el INDH organiza un encuentro de este tipo, lo que hizo posible que mujeres de Arica y Parinacota, Tarapacá,"
,,,2023-12-06,https://portal.sma.gob.cl/index.php/superintendenta-plumer-visita-la-region-de-arica-y-parinacota-para-reunirse-con-autoridades-locales/,Superintendencia Del Medio Ambiente – Gobierno de Chile,,Arica y Parinacota,Arica,,,,,,,,,,,Se trata de la primera visita oficial de la jefa del Servicio a la región del norte extremo del país y tuvo como fin abordar distintas
,,,2024-07-05,https://resumen.cl/articulos/quiborax-empresa-denunciada-por-dano-ambiental-a-salar-de-surire-busca-obtener-contrato-para-explotar-litio,Resumen.cl,,Arica y Parinacota,Arica,,,,,,,,,,,La minera Quiborax está demandada por el Consejo de Defensa del Estado debido a presuntamente haber generado daño ambiental irreparable
,,,2024-09-01,https://g5noticias.cl/2024/09/01/sesion-especial-de-seguridad-publica-en-arica-alcalde-espindola-exigio-un-plan-especial-y-mayor-enfoque-en-problemas-migratorios/,G5noticias,,Arica y Parinacota,Arica,,,,,,,,,,,"En una reunión presidida por el senador Iván Flores, se abordaron las preocupaciones de seguridad pública en la región. El alcalde de Arica,"
,,,2015-01-05,https://forestal.uchile.cl/noticias/108552/desafios-ambientales-en-arica-parinacota,Forestal Uchile,,Arica y Parinacota,Arica,,,,,,,,,,,"El Profesor Cristián Estades, estuvo a cargo del equipo que recorrió la región para realizar el diagnóstico sobre fauna.hace 118 meses"
,,,2024-03-06,https://www.adnradio.cl/2024/03/06/investigacion-de-ciper-revela-la-formula-de-minera-quiborax-para-saltarse-las-reglas-en-el-salar-de-surire/,ADN Radio,,Arica y Parinacota,Arica,,,,,,,,,,,"Una profunda investigación periodística expone el conflicto entre la empresa minera Quiborax y la Corporación Nacional Forestal (Conaf),"
,,,2019-05-09,https://www.explora.cl/aricayparinacota/contaminacion-del-aire-basura-y-ruidos-son-los-principales-problemas-ambientales-del-pais-1/,Explora.cl,,Arica y Parinacota,Arica,,,,,,,,,,,"Veinticinco años atrás el cuidado del medio ambiente era un tema aún más emergente, Tímidamente se comenzaba a hablar de reciclaje en los"
,,,2024-12-04,https://www.diarioconcepcion.cl/opinion/2021/02/14/arica-un-caso-de-contaminacion-ambiental-por-negligencia.html,Diario Concepción,,Arica y Parinacota,Arica,,,,,,,,,,,Dr. Ricardo Barra Ríos Director Centro Eula Académico Fac. de Cs. Ambientales Universidad de Concepción. El documental Arica del director
,,,2019-03-29,https://laderasur.com/articulo/arica-en-alerta-asi-afectan-los-altos-niveles-de-contaminacion-costera-la-fauna-marina/,Ladera Sur,,Arica y Parinacota,Arica,,,,,,,,,,,La contaminación en la costa de Arica ha llegado a niveles preocupantes. Así lo comprobaron los Voluntarios por el Océano que asistieron a
,,,2024-03-06,https://www.ciperchile.cl/2024/03/06/la-formula-de-minera-quiborax-para-saltarse-las-reglas-en-el-salar-de-surire/,- CIPER Chile,,Arica y Parinacota,Arica,,,,,,,,,,,"La Superintendencia de Medio Ambiente investiga a la empresa minera Quiborax, luego de que la Corporación Nacional Forestal (Conaf) la"
